"Country_Name";"Country_Code";"Indicator_Code";"Indicator_Name";"Debt"
"Argentina";"ARG";"DT.DOD.DSTC.ZS";"Short-term debt (% of total external debt)";857.9671
"Argentina";"ARG";"BX.GRT.TECH.CD.DT";"Technical cooperation grants (current US$)";2244930000.0
"Argentina";"ARG";"DT.TXR.DPPG.CD";"Total amount of debt rescheduled (current US$)";73397894419.4
"Argentina";"ARG";"DT.DOD.DECT.CD.CG";"Total change in external debt stocks (current US$)";97367957253.0
"Argentina";"ARG";"FI.RES.TOTL.DT.ZS";"Total reserves (% of total external debt)";741.324585658
"Argentina";"ARG";"FI.RES.TOTL.MO";"Total reserves in months of imports";199.412407006
"Armenia";"ARM";"DT.GPA.DPPG";"Average grace period on new external debt commitments (years)";187.7528
"Armenia";"ARM";"DT.GRE.DPPG";"Average grant element on new external debt commitments (%)";904.8055
"Armenia";"ARM";"DT.INR.DPPG";"Average interest on new external debt commitments (%)";39.7662
"Armenia";"ARM";"DT.MAT.DPPG";"Average maturity on new external debt commitments (years)";646.248
"Armenia";"ARM";"DT.DOD.ALLC.ZS";"Concessional debt (% of total external debt)";741.7694
"Armenia";"ARM";"BN.CAB.XOKA.CD";"Current account balance (current US$)";-10608082406.95
"Armenia";"ARM";"DT.DSB.DPPG.CD";"Debt buyback (current US$)";0.0
"Armenia";"ARM";"DT.DOD.MDRI.CD";"Debt forgiveness grants (current US$)";0.0
"Armenia";"ARM";"DT.DFR.DPPG.CD";"Debt forgiveness or reduction (current US$)";-48359000.0
"Armenia";"ARM";"DT.DSF.DPPG.CD";"Debt stock reduction (current US$)";46060000.0
"Armenia";"ARM";"DT.DXR.DPPG.CD";"Debt stock rescheduled (current US$)";114871519.2
"Armenia";"ARM";"DT.DOD.DECT.GN.ZS";"External debt stocks (% of GNI)";1145.4790104
"Armenia";"ARM";"NY.GNP.MKTP.CD";"GNI (current US$)";133161955248.0
"Armenia";"ARM";"DT.DIS.IDAG.CD";"IDA grants (current US$)";0.0
"Armenia";"ARM";"DT.IXF.DPPG.CD";"Interest forgiven (current US$)";0.0
"Armenia";"ARM";"DT.INT.DECT.GN.ZS";"Interest payments on external debt (% of GNI)";25.258720245
"Armenia";"ARM";"DT.IXR.DPPG.CD";"Interest rescheduled (capitalized) (current US$)";0.0
"Armenia";"ARM";"DT.DOD.MLAT.ZS";"Multilateral debt (% of total external debt)";896.5366
"Armenia";"ARM";"DT.IXA.DPPG.CD.CG";"Net change in interest arrears (current US$)";0.0
"Armenia";"ARM";"DT.DOD.PVLX.GN.ZS";"Present value of external debt (% of GNI)";0.0
"Armenia";"ARM";"DT.DOD.PVLX.CD";"Present value of external debt (current US$)";0.0
"Armenia";"ARM";"BX.KLT.DREM.CD.DT";"Primary income on FDI (current US$)";2902141169.91
"Armenia";"ARM";"DT.AXF.DPPG.CD";"Principal forgiven (current US$)";2299000.0
"Armenia";"ARM";"DT.AXR.DPPG.CD";"Principal rescheduled (current US$)";45154000.0
"Armenia";"ARM";"DT.DOD.DSTC.ZS";"Short-term debt (% of total external debt)";210.8213
"Armenia";"ARM";"BX.GRT.TECH.CD.DT";"Technical cooperation grants (current US$)";1307560000.0
"Armenia";"ARM";"DT.TXR.DPPG.CD";"Total amount of debt rescheduled (current US$)";173944519.2
"Armenia";"ARM";"DT.DOD.DECT.CD.CG";"Total change in external debt stocks (current US$)";8428623350.1
"Armenia";"ARM";"FI.RES.TOTL.DT.ZS";"Total reserves (% of total external debt)";679.89915499
"Armenia";"ARM";"FI.RES.TOTL.MO";"Total reserves in months of imports";78.090111727
"Azerbaijan";"AZE";"DT.GPA.DPPG";"Average grace period on new external debt commitments (years)";138.2589
"Azerbaijan";"AZE";"DT.GRE.DPPG";"Average grant element on new external debt commitments (%)";546.3549
"Azerbaijan";"AZE";"DT.INR.DPPG";"Average interest on new external debt commitments (%)";66.6589
"Azerbaijan";"AZE";"DT.MAT.DPPG";"Average maturity on new external debt commitments (years)";503.3717
"Azerbaijan";"AZE";"DT.DOD.ALLC.ZS";"Concessional debt (% of total external debt)";515.0226
"Azerbaijan";"AZE";"BN.CAB.XOKA.CD";"Current account balance (current US$)";86345910000.0
"Azerbaijan";"AZE";"DT.DSB.DPPG.CD";"Debt buyback (current US$)";0.0
"Azerbaijan";"AZE";"DT.DOD.MDRI.CD";"Debt forgiveness grants (current US$)";0.0
"Azerbaijan";"AZE";"DT.DFR.DPPG.CD";"Debt forgiveness or reduction (current US$)";-35500000.0
"Azerbaijan";"AZE";"DT.DSF.DPPG.CD";"Debt stock reduction (current US$)";0.0
"Azerbaijan";"AZE";"DT.DXR.DPPG.CD";"Debt stock rescheduled (current US$)";0.0
"Azerbaijan";"AZE";"DT.DOD.DECT.GN.ZS";"External debt stocks (% of GNI)";409.984003828
"Azerbaijan";"AZE";"NY.GNP.MKTP.CD";"GNI (current US$)";543287438172.0
"Azerbaijan";"AZE";"DT.DIS.IDAG.CD";"IDA grants (current US$)";0.0
"Azerbaijan";"AZE";"DT.IXF.DPPG.CD";"Interest forgiven (current US$)";2481000.0
"Azerbaijan";"AZE";"DT.INT.DECT.GN.ZS";"Interest payments on external debt (% of GNI)";10.158437681
"Azerbaijan";"AZE";"DT.IXR.DPPG.CD";"Interest rescheduled (capitalized) (current US$)";0.0
"Azerbaijan";"AZE";"DT.DOD.MLAT.ZS";"Multilateral debt (% of total external debt)";578.0102
"Azerbaijan";"AZE";"DT.IXA.DPPG.CD.CG";"Net change in interest arrears (current US$)";0.0
"Azerbaijan";"AZE";"DT.DOD.PVLX.GN.ZS";"Present value of external debt (% of GNI)";0.0
"Azerbaijan";"AZE";"DT.DOD.PVLX.CD";"Present value of external debt (current US$)";0.0
"Azerbaijan";"AZE";"BX.KLT.DREM.CD.DT";"Primary income on FDI (current US$)";41863558000.0
"Azerbaijan";"AZE";"DT.AXF.DPPG.CD";"Principal forgiven (current US$)";35500000.0
"Azerbaijan";"AZE";"DT.AXR.DPPG.CD";"Principal rescheduled (current US$)";74817000.0
"Azerbaijan";"AZE";"DT.DOD.DSTC.ZS";"Short-term debt (% of total external debt)";214.0708
"Azerbaijan";"AZE";"BX.GRT.TECH.CD.DT";"Technical cooperation grants (current US$)";1016540000.0
"Azerbaijan";"AZE";"DT.TXR.DPPG.CD";"Total amount of debt rescheduled (current US$)";122629000.0
"Azerbaijan";"AZE";"DT.DOD.DECT.CD.CG";"Total change in external debt stocks (current US$)";13241436668.4
"Azerbaijan";"AZE";"FI.RES.TOTL.DT.ZS";"Total reserves (% of total external debt)";1610.207797554
"Azerbaijan";"AZE";"FI.RES.TOTL.MO";"Total reserves in months of imports";74.442711915
"Bangladesh";"BGD";"DT.GPA.DPPG";"Average grace period on new external debt commitments (years)";390.4263
"Bangladesh";"BGD";"DT.GRE.DPPG";"Average grant element on new external debt commitments (%)";1952.0318
"Bangladesh";"BGD";"DT.INR.DPPG";"Average interest on new external debt commitments (%)";67.4321
"Bangladesh";"BGD";"DT.MAT.DPPG";"Average maturity on new external debt commitments (years)";1537.7783
"Bangladesh";"BGD";"DT.DOD.ALLC.ZS";"Concessional debt (% of total external debt)";2924.7003
"Bangladesh";"BGD";"BN.CAB.XOKA.CD";"Current account balance (current US$)";7413597022.28
"Bangladesh";"BGD";"DT.DSB.DPPG.CD";"Debt buyback (current US$)";0.0
"Bangladesh";"BGD";"DT.DOD.MDRI.CD";"Debt forgiveness grants (current US$)";2398740000.0
"Bangladesh";"BGD";"DT.DFR.DPPG.CD";"Debt forgiveness or reduction (current US$)";-1236524958.3
"Bangladesh";"BGD";"DT.DSF.DPPG.CD";"Debt stock reduction (current US$)";0.0
"Bangladesh";"BGD";"DT.DXR.DPPG.CD";"Debt stock rescheduled (current US$)";0.0
"Bangladesh";"BGD";"DT.DOD.DECT.GN.ZS";"External debt stocks (% of GNI)";1170.051270737
"Bangladesh";"BGD";"NY.GNP.MKTP.CD";"GNI (current US$)";2395917837500.0
"Bangladesh";"BGD";"DT.DIS.IDAG.CD";"IDA grants (current US$)";99273868.12
"Bangladesh";"BGD";"DT.IXF.DPPG.CD";"Interest forgiven (current US$)";28818203.1
"Bangladesh";"BGD";"DT.INT.DECT.GN.ZS";"Interest payments on external debt (% of GNI)";16.687583902
"Bangladesh";"BGD";"DT.IXR.DPPG.CD";"Interest rescheduled (capitalized) (current US$)";0.0
"Bangladesh";"BGD";"DT.DOD.MLAT.ZS";"Multilateral debt (% of total external debt)";2303.9826
"Bangladesh";"BGD";"DT.IXA.DPPG.CD.CG";"Net change in interest arrears (current US$)";-13387949.1
"Bangladesh";"BGD";"DT.DOD.PVLX.GN.ZS";"Present value of external debt (% of GNI)";0.0
"Bangladesh";"BGD";"DT.DOD.PVLX.CD";"Present value of external debt (current US$)";0.0
"Bangladesh";"BGD";"BX.KLT.DREM.CD.DT";"Primary income on FDI (current US$)";15985070789.55
"Bangladesh";"BGD";"DT.AXF.DPPG.CD";"Principal forgiven (current US$)";1236524958.3
"Bangladesh";"BGD";"DT.AXR.DPPG.CD";"Principal rescheduled (current US$)";1690501.0
"Bangladesh";"BGD";"DT.DOD.DSTC.ZS";"Short-term debt (% of total external debt)";157.608
"Bangladesh";"BGD";"BX.GRT.TECH.CD.DT";"Technical cooperation grants (current US$)";7730360000.0
"Bangladesh";"BGD";"DT.TXR.DPPG.CD";"Total amount of debt rescheduled (current US$)";0.0
"Bangladesh";"BGD";"DT.DOD.DECT.CD.CG";"Total change in external debt stocks (current US$)";28253760921.6
"Bangladesh";"BGD";"FI.RES.TOTL.DT.ZS";"Total reserves (% of total external debt)";946.834556878
"Bangladesh";"BGD";"FI.RES.TOTL.MO";"Total reserves in months of imports";118.990465572
